ลำดับ,common_name_th,scientific_name,family
108,พุดจีบ,Tabernaemontana divaricata (L.) R. Br.ex Roem. & Schult.,APOCYNACEAE
109,พุดซ้อน,Gardenia jasminoides J. Ellis,RUBIACEAE
110,พุดน้ำบุศย์,Gardenia carinata Wall. ex Roxb.,RUBIACEAE
111,พุทธชาดก้านแดง,Jasminum grandiflorum L.,OLEACEAE
112,พุดพิชญา,Wrightia antidysenterica (L.) R. Br.,APOCYNACEAE
113,พุดศุภโชค (พุดซ้อน),Gardenia jasminoides J. Ellis,RUBIACEAE
114,พุดสามสี,Brunfelsia uniflora (Pohl) D. Don,SOLANACEAE
115,พุทธรักษา,Canna indica L.,CANNACEAE
116,เพกา,Oroxylum indicum (L.) Benth. ex Kurz,BIGNONIACEAE
117,โพขี้นก,Ficus rumphii Blume,MORACEAE
118,โพศรีมหาโพธิ,Ficus religiosa L.,MORACEAE
119,เฟื่องฟ้า,Bougainvillea spp.,NYCTAGINACEAE
120,มะกอกน้ำ,Elaeocarpus hygrophilus Kurz,ELAEOCARPACEAE
121,มะกรูด,Citrus hystrix DC.,RUTACEAE
122,มะขาม,Tamarindus indica L.,FABACEAE
123,มะขามเทศ,Pithecellobium dulce (Roxb.) Benth.,FABACEAE
124,มะขวิด,Limonia acidissima L.,RUTACEAE
125,มะนาว,Citrus ×aurantifolia (Christm.) Swingle,RUTACEAE
126,มะพร้าว,Cocos nucifera L.,ARECACEAE
127,มะเฟือง,Averrhoa carambola L.,OXALIDACEAE
128,มะดัน,Garcinia schomburgkiana Pierre,CLUSIACEAE
129,มะตาด,Dillenia indica L.,DILLENIACEAE
130,มะตูม,Aegle marmelos (L.) Corrêa ex Roxb.,RUTACEAE
131,มะม่วง,Mangifera indica L.,ANACARDIACEAE
132,มะม่วงหิมพานต์,Anacardium occidentale L.,ANACARDIACEAE
133,มะยม,Phyllanthus acidus (L.) Skeels,PHYLLANTHACEAE
134,มะยงชิด,Bouea oppositifolia (Roxb.) Meisn.,ANACARDIACEAE
135,มะละกอ,Carica papaya L.,CARICACEAE
136,มะลิลา,Jasminum sambac (L.) Aiton,OLEACEAE
137,มะรุม,Moringa oleifera Lam.,MORINGACEAE
138,มะสัง,Feroniella lucida (Scheff.) Swingle,RUTACEAE
139,มะฮอกกานีใบใหญ่,Swietenia macrophylla King,MELIACEAE
140,มันปู,Glochidion littorale Blume,PHYLLANTHACEAE
141,มิกกี้เมาส์,Ochna thomasiana Engl. & Gilg,OCHNACEAE
142,โมกบ้าน,Wrightia religiosa (Teijsm. & Binn.) Benth. ex Kurz,APOCYNACEAE
143,ยางอินเดีย,Ficus elastica Roxb. ex Hornem,MORACEAE
144,ยอ,Morinda citrifolia L.,RUBIACEAE
145,ยางนา,Dipterocarpus alatus Roxb. ex G. Don,DIPTEROCARPACEAE
146,ยี่โถ,Nerium oleander L.,APOCYNACEAE
147,ยูคาลิปตัส,Eucalyptus sp.,MYRTACEAE
148,รัก,Calotropis gigantea (L.) W. T. Aiton,APOCYNACEAE
149,ราชพฤกษ์,Cassia fistula L.,FABACEAE
150,ราชาวดี,Buddleja paniculata Wall.,SCROPHULARIACEAE
151,รำเพย,Cascabela thevetia (L.) Lippold,APOCYNACEAE
152,ละมุด,Manilkara zapota (L.) P. Royen,SAPOTACEAE
